"FIPS","Year","Group","Value","MOE"
"0901575870","2009-2013","Total Living with One Parent, Not in Work Force",57,70.4485627958442
"0901575870","2009-2013","Total Living with Two Parents",1342,201.645728940635
"0901575870","2009-2013","Total Living with Two Parents, Neither in Work Force",12,25.4950975679639
"0901586790","2009-2013","Total Children",4614,372
"0901586790","2009-2013","Total Living with One Parent",2795,398.909764232464
"0901586790","2009-2013","Total Living with One Parent, Not in Work Force",504,247.313566146299
"0901586790","2009-2013","Total Living with Two Parents",1819,341.976607387114
"0901586790","2009-2013","Total Living with Two Parents, Neither in Work Force",123,112.178429299041
"0901588190","2009-2013","Total Children",1818,186
"0901588190","2009-2013","Total Living with One Parent",346,169.496312644258
"0901588190","2009-2013","Total Living with One Parent, Not in Work Force",74,80.3741251896405
"0901588190","2009-2013","Total Living with Two Parents",1472,245.051015096857
"0901588190","2009-2013","Total Living with Two Parents, Neither in Work Force",0,24.0416305603426
"09","2010-2014","Total Children",766701,1389
"09","2010-2014","Total Living with One Parent",246335,3664.08310495272
"09","2010-2014","Total Living with One Parent, Not in Work Force",38659,1797.21534602841
"09","2010-2014","Total Living with Two Parents",520366,4207.20441623651
"09","2010-2014","Total Living with Two Parents, Neither in Work Force",5199,627.925154775631
"0900104720","2010-2014","Total Children",4281,266
"0900104720","2010-2014","Total Living with One Parent",1030,253.836561590327
"0900104720","2010-2014","Total Living with One Parent, Not in Work Force",144,126.360595123638
"0900104720","2010-2014","Total Living with Two Parents",3251,341.533307306916
"0900104720","2010-2014","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900108070","2010-2014","Total Children",34356,967
"0900108070","2010-2014","Total Living with One Parent",19496,1092.61749940224
"0900108070","2010-2014","Total Living with One Parent, Not in Work Force",3118,490.684216171664
"0900108070","2010-2014","Total Living with Two Parents",14860,861.002322877238
"0900108070","2010-2014","Total Living with Two Parents, Neither in Work Force",186,108.406641862941
"0900108980","2010-2014","Total Children",3832,261
"0900108980","2010-2014","Total Living with One Parent",537,216.011573764
"0900108980","2010-2014","Total Living with One Parent, Not in Work Force",31,46.6047207909242
"0900108980","2010-2014","Total Living with Two Parents",3295,358.134053114194
"0900108980","2010-2014","Total Living with Two Parents, Neither in Work Force",12,26.8700576850888
"0900118500","2010-2014","Total Children",16673,822
"0900118500","2010-2014","Total Living with One Parent",5702,716.766349656567
"0900118500","2010-2014","Total Living with One Parent, Not in Work Force",613,282.173705366039
"0900118500","2010-2014","Total Living with Two Parents",10971,884.295199579869
"0900118500","2010-2014","Total Living with Two Parents, Neither in Work Force",125,83.4386001800126
"0900118850","2010-2014","Total Children",7091,303
"0900118850","2010-2014","Total Living with One Parent",408,153.310143173894
"0900118850","2010-2014","Total Living with One Parent, Not in Work Force",144,98.1682229644604
"0900118850","2010-2014","Total Living with Two Parents",6683,406.420964026218
"0900118850","2010-2014","Total Living with Two Parents, Neither in Work Force",113,110.217965867639
"0900123890","2010-2014","Total Children",2004,157
"0900123890","2010-2014","Total Living with One Parent",249,107.354552767919
"0900123890","2010-2014","Total Living with One Parent, Not in Work Force",21,44.977772288098
"0900123890","2010-2014","Total Living with Two Parents",1755,211.400094607358
"0900123890","2010-2014","Total Living with Two Parents, Neither in Work Force",9,23.3452350598575
"0900126620","2010-2014","Total Children",15083,505
"0900126620","2010-2014","Total Living with One Parent",1706,315.635866149587
"0900126620","2010-2014","Total Living with One Parent, Not in Work Force",269,115.542200082913
"0900126620","2010-2014","Total Living with Two Parents",13377,711.501229795142
"0900126620","2010-2014","Total Living with Two Parents, Neither in Work Force",45,58.1807528311554
"0900133620","2010-2014","Total Children",16319,489
"0900133620","2010-2014","Total Living with One Parent",2259,308.643807648882
"0900133620","2010-2014","Total Living with One Parent, Not in Work Force",335,120.378569521323
"0900133620","2010-2014","Total Living with Two Parents",14060,662.550375443256
"0900133620","2010-2014","Total Living with Two Parents, Neither in Work Force",186,85.4400374531753
"0900148620","2010-2014","Total Children",5081,317
"0900148620","2010-2014","Total Living with One Parent",1155,326.377082528783
"0900148620","2010-2014","Total Living with One Parent, Not in Work Force",155,138.112273169331
"0900148620","2010-2014","Total Living with Two Parents",3926,412.82562904936
"0900148620","2010-2014","Total Living with Two Parents, Neither in Work Force",0,26.8700576850888
"0900150580","2010-2014","Total Children",6351,266
"0900150580","2010-2014","Total Living with One Parent",661,242.142520016622
"0900150580","2010-2014","Total Living with One Parent, Not in Work Force",151,113.393121484506
"0900150580","2010-2014","Total Living with Two Parents",5690,369.195070389625
"0900150580","2010-2014","Total Living with Two Parents, Neither in Work Force",274,197.585424563655
"0900150860","2010-2014","Total Children",3464,212
"0900150860","2010-2014","Total Living with One Parent",598,223.510626145604
"0900150860","2010-2014","Total Living with One Parent, Not in Work Force",7,35.028559776274
"0900150860","2010-2014","Total Living with Two Parents",2866,299.294169672581
"0900150860","2010-2014","Total Living with Two Parents, Neither in Work Force",12,26.1725046566048
"0900152980","2010-2014","Total Children",7110,300
"0900152980","2010-2014","Total Living with One Parent",925,244.616025640186
"0900152980","2010-2014","Total Living with One Parent, Not in Work Force",152,126.542482984964
"0900152980","2010-2014","Total Living with Two Parents",6185,372.484899022766
"0900152980","2010-2014","Total Living with Two Parents, Neither in Work Force",9,26.6270539113887
"0900156060","2010-2014","Total Children",16159,841
"0900156060","2010-2014","Total Living with One Parent",4870,600.288264086514
"0900156060","2010-2014","Total Living with One Parent, Not in Work Force",545,205.360658355002
"0900156060","2010-2014","Total Living with Two Parents",11289,831.365743821575
"0900156060","2010-2014","Total Living with Two Parents, Neither in Work Force",24,45.6070170039655
"0900163480","2010-2014","Total Children",2193,156
"0900163480","2010-2014","Total Living with One Parent",447,151.433153569488
"0900163480","2010-2014","Total Living with One Parent, Not in Work Force",83,82.6498638837355
"0900163480","2010-2014","Total Living with Two Parents",1746,211.896201004171
"0900163480","2010-2014","Total Living with Two Parents, Neither in Work Force",16,29.4108823397055
"0900163970","2010-2014","Total Children",7546,287
"0900163970","2010-2014","Total Living with One Parent",1055,294.552202504072
"0900163970","2010-2014","Total Living with One Parent, Not in Work Force",110,99.8899394333584
"0900163970","2010-2014","Total Living with Two Parents",6491,463.745619925407
"0900163970","2010-2014","Total Living with Two Parents, Neither in Work Force",108,108.16653826392
"0900168170","2010-2014","Total Children",7804,389
"0900168170","2010-2014","Total Living with One Parent",1704,333.865242275982
"0900168170","2010-2014","Total Living with One Parent, Not in Work Force",248,134.565968952035
"0900168170","2010-2014","Total Living with Two Parents",6100,522.825018529144
"0900168170","2010-2014","Total Living with Two Parents, Neither in Work Force",28,48.8773976393997
"0900168310","2010-2014","Total Children",735,103
"0900168310","2010-2014","Total Living with One Parent",68,71.0211236182588
"0900168310","2010-2014","Total Living with One Parent, Not in Work Force",0,24
"0900168310","2010-2014","Total Living with Two Parents",667,144.031246609894
"0900168310","2010-2014","Total Living with Two Parents, Neither in Work Force",0,16.9705627484771
"0900173070","2010-2014","Total Children",26440,984
"0900173070","2010-2014","Total Living with One Parent",7469,780.724022942807
"0900173070","2010-2014","Total Living with One Parent, Not in Work Force",1102,346.072246792487
"0900173070","2010-2014","Total Living with Two Parents",18971,994.901502662449
"0900173070","2010-2014","Total Living with Two Parents, Neither in Work Force",30,40.3112887414927
"0900174190","2010-2014","Total Children",9770,467
"0900174190","2010-2014","Total Living with One Parent",3010,527.787836161464
"0900174190","2010-2014","Total Living with One Parent, Not in Work Force",376,143.006992836015
"0900174190","2010-2014","Total Living with Two Parents",6760,529.808455953659
"0900174190","2010-2014","Total Living with Two Parents, Neither in Work Force",54,60.8276253029822
"0900177200","2010-2014","Total Children",8951,444
"0900177200","2010-2014","Total Living with One Parent",1359,303.222690443839
"0900177200","2010-2014","Total Living with One Parent, Not in Work Force",87,87.2926113711808
"0900177200","2010-2014","Total Living with Two Parents",7592,460.561613684858
"0900177200","2010-2014","Total Living with Two Parents, Neither in Work Force",28,32.310988842807
"0900183430","2010-2014","Total Children",3437,143
"0900183430","2010-2014","Total Living with One Parent",242,100.424100693011
"0900183430","2010-2014","Total Living with One Parent, Not in Work Force",22,37.5099986670221
"0900183430","2010-2014","Total Living with Two Parents",3195,250.265858638369
"0900183430","2010-2014","Total Living with Two Parents, Neither in Work Force",11,24.8394846967484
"0900183500","2010-2014","Total Children",7612,330
"0900183500","2010-2014","Total Living with One Parent",1281,315.153930643424
"0900183500","2010-2014","Total Living with One Parent, Not in Work Force",139,101.49384217774
"0900183500","2010-2014","Total Living with Two Parents",6331,405.597090719349
"0900183500","2010-2014","Total Living with Two Parents, Neither in Work Force",72,62.9682459657247
"0900186370","2010-2014","Total Children",5776,256
"0900186370","2010-2014","Total Living with One Parent",471,137.087563257941
"0900186370","2010-2014","Total Living with One Parent, Not in Work Force",84,67.5499814951862
"0900186370","2010-2014","Total Living with Two Parents",5305,390.590578483404
"0900186370","2010-2014","Total Living with Two Parents, Neither in Work Force",54,47.0106370941726
"0900302060","2010-2014","Total Children",4525,261
"0900302060","2010-2014","Total Living with One Parent",467,192.20041623264
"0900302060","2010-2014","Total Living with One Parent, Not in Work Force",87,73.3689307541005
"0900302060","2010-2014","Total Living with Two Parents",4058,309.187645290041
"0900302060","2010-2014","Total Living with Two Parents, Neither in Work Force",94,98.8433103452125
"0900304300","2010-2014","Total Children",4309,249
"0900304300","2010-2014","Total Living with One Parent",633,200
"0900304300","2010-2014","Total Living with One Parent, Not in Work Force",62,63.6867333123626
"0900304300","2010-2014","Total Living with Two Parents",3676,386.287457730639
"0900304300","2010-2014","Total Living with Two Parents, Neither in Work Force",0,31.1126983722081
"0900305910","2010-2014","Total Children",2880,281
"0900305910","2010-2014","Total Living with One Parent",1294,273.928822871928
